news_headline,news_article,news_category,full_text,clean_text
Twitter to let researchers study COVID-19 tweets in real-time,"Twitter has announced it will let ""approved"" developers and researchers study the ""comprehensive, public conversation about COVID-19 in real-time"". It said this could be used by approved applicants working on crisis management, emergency response or communication within communities. European Commissioner Věra Jourová called Twitter's move ""a good step in the right direction"".",technology,"Twitter to let researchers study COVID-19 tweets in real-time. Twitter has announced it will let ""approved"" developers and researchers study the ""comprehensive, public conversation about COVID-19 in real-time"". It said this could be used by approved applicants working on crisis management, emergency response or communication within communities. European Commissioner Věra Jourová called Twitter's move ""a good step in the right direction"".",twitter let researcher study covid tweet real time twitter announce let approve developer researcher study comprehensive public conversation covid real time say could use approve applicant work crisis management emergency response communication within community european commissioner vera jourova call twitter move good step right direction
"IIT-Madras startups make PPEs from 3D printers, stationery materials",IIT-Madras-backed startups have developed PPEs like face shields and intubation boxes from 3D printers and commonly available stationery materials for frontline COVID-19 workers. Initial batches have been supplied to frontline healthcare workers. Fabheads Automation and Axis Defence Labs made 3D-printed face shields which use flexible plastic frame to fit people without needing elastic bands.,technology,"IIT-Madras startups make PPEs from 3D printers, stationery materials. IIT-Madras-backed startups have developed PPEs like face shields and intubation boxes from 3D printers and commonly available stationery materials for frontline COVID-19 workers. Initial batches have been supplied to frontline healthcare workers. Fabheads Automation and Axis Defence Labs made 3D-printed face shields which use flexible plastic frame to fit people without needing elastic bands.",iit madras startup make ppe printer stationery material iit madras back startup develop ppe like face shield intubation box printer commonly available stationery material frontline covid worker initial batch supply frontline healthcare worker fabhead automation axis defence lab make print face shield use flexible plastic frame fit people without need elastic band
Twitter's average monetisable daily active users grow 24% in Q1,"Twitter revealed that its average monetisable daily active users (Twitter’s own metric for measuring its audience) grew 24% year-over-year to 166 million in Q1 2020. This is its highest reported year-over-year growth rate to date. Twitter said it has added 14 million average mDAUs since the previous quarter. It also reported a revenue of $808 million, up by 3% year-over-year.",technology,"Twitter's average monetisable daily active users grow 24% in Q1. Twitter revealed that its average monetisable daily active users (Twitter’s own metric for measuring its audience) grew 24% year-over-year to 166 million in Q1 2020. This is its highest reported year-over-year growth rate to date. Twitter said it has added 14 million average mDAUs since the previous quarter. It also reported a revenue of $808 million, up by 3% year-over-year.",twitter average monetisable daily active user grow q twitter reveal average monetisable daily active user twitter metric measure audience grow year year million q high report year year growth rate date twitter say add million average mdau since previous quarter also report revenue million year year
Amazon extends work from home policy for staff till October 2,Amazon has told its employees whose job can be done from home that they can do so until at least October 2. A spokesperson said it applied to roles globally but didn't specify how much of its overall workforce that covered and which roles. Amazon said it's investing funds in safety measures for employees who wish to come to office.,technology,Amazon extends work from home policy for staff till October 2. Amazon has told its employees whose job can be done from home that they can do so until at least October 2. A spokesperson said it applied to roles globally but didn't specify how much of its overall workforce that covered and which roles. Amazon said it's investing funds in safety measures for employees who wish to come to office.,amazon extend work home policy staff till october amazon tell employee whose job home least october spokesperson say apply role globally not specify much overall workforce cover role amazon say invest fund safety measure employee wish come office
"Warner Bros, Sony-backed Asian streaming platform Hooq shuts down","On-demand video service platform Hooq, a joint venture between Sony Pictures, Warner Bros Studios and Singtel, has shut down as of April 30. The Singapore-headquartered platform claimed to have over 80 million subscribers in five countries, including India. Last month the platform had filed for liquidation after it failed to grow rapidly and cover its increasing operating costs.",technology,"Warner Bros, Sony-backed Asian streaming platform Hooq shuts down. On-demand video service platform Hooq, a joint venture between Sony Pictures, Warner Bros Studios and Singtel, has shut down as of April 30. The Singapore-headquartered platform claimed to have over 80 million subscribers in five countries, including India. Last month the platform had filed for liquidation after it failed to grow rapidly and cover its increasing operating costs.",warner bros sony back asian stream platform hooq shut demand video service platform hooq joint venture sony picture warner bros studios singtel shut april singapore headquartered platform claim million subscriber five country include india last month platform file liquidation fail grow rapidly cover increase operating cost
OpenAI model generates genre-specific music with lyrics,"San Francisco-based AI startup OpenAI unveiled a new generative model called Jukebox which it says generates genre-specific music with lyrics. The model reproduced songs by artists including Katy Perry, Elvis Presley, Kanye West, Nicki Minaj and Alan Jackson. OpenAI used raw audio to train the model and used convolutional neural networks to encode and compress raw audio.",technology,"OpenAI model generates genre-specific music with lyrics. San Francisco-based AI startup OpenAI unveiled a new generative model called Jukebox which it says generates genre-specific music with lyrics. The model reproduced songs by artists including Katy Perry, Elvis Presley, Kanye West, Nicki Minaj and Alan Jackson. OpenAI used raw audio to train the model and used convolutional neural networks to encode and compress raw audio.",openai model generate genre specific music lyric san francisco base ai startup openai unveil new generative model call jukebox say generate genre specific music lyric model reproduce song artist include katy perry elvis presley kanye west nicki minaj alan jackson openai use raw audio train model use convolutional neural network encode compress raw audio
COVID-19 had minimal net impact on revenue in Q3: Microsoft,"In its third-quarter 2020 earnings report, Microsoft revealed the coronavirus had ""minimal net impact on the total company revenue"". The company reported that its total revenue for the quarter stood at $35 billion, up by 15% from last year. Microsoft's net income stood at $10.8 billion, a 22% increase year-on-year.",technology,"COVID-19 had minimal net impact on revenue in Q3: Microsoft. In its third-quarter 2020 earnings report, Microsoft revealed the coronavirus had ""minimal net impact on the total company revenue"". The company reported that its total revenue for the quarter stood at $35 billion, up by 15% from last year. Microsoft's net income stood at $10.8 billion, a 22% increase year-on-year.",covid minimal net impact revenue q microsoft third quarter earning report microsoft reveal coronavirus minimal net impact total company revenue company report total revenue quarter stand billion last year microsoft net income stand billion increase year year
Tesla sued by Japanese man's family who died in autopilot crash in 2018,"Tesla is being sued by the 44-year-old Japanese man's wife and daughter who died in 2018 when a Model X crashed into a group of people while on autopilot mode. According to the complaint, the car ""suddenly accelerated"" when the vehicle ahead of it changed lanes. It added that the Tesla vehicle also crashed into a van, motorcycles and pedestrians.",technology,"Tesla sued by Japanese man's family who died in autopilot crash in 2018. Tesla is being sued by the 44-year-old Japanese man's wife and daughter who died in 2018 when a Model X crashed into a group of people while on autopilot mode. According to the complaint, the car ""suddenly accelerated"" when the vehicle ahead of it changed lanes. It added that the Tesla vehicle also crashed into a van, motorcycles and pedestrians.",tesla sue japanese man family die autopilot crash tesla sue year old japanese man wife daughter die model x crash group people autopilot mode accord complaint car suddenly accelerate vehicle ahead change lane add tesla vehicle also crash van motorcycle pedestrian
"Apple has $192.8 bn cash on hand in Q2, down 7.4% from Q1","Apple's 2020 second-quarter earnings report revealed that the company now has $192.8 billion cash on hand. The figures took a dip of 7.4% from the first quarter of 2020 where it had reported a $207.06 billion cash pile. The company posted quarterly revenue of $58.3 billion, an increase of 1% year-on-year.",technology,"Apple has $192.8 bn cash on hand in Q2, down 7.4% from Q1. Apple's 2020 second-quarter earnings report revealed that the company now has $192.8 billion cash on hand. The figures took a dip of 7.4% from the first quarter of 2020 where it had reported a $207.06 billion cash pile. The company posted quarterly revenue of $58.3 billion, an increase of 1% year-on-year.",apple bn cash hand q q apple second quarter earning report reveal company billion cash hand figure take dip first quarter report billion cash pile company post quarterly revenue billion increase year year
Proposal to sell '.org' registry for $1.1 bn rejected,"The proposal to sell control of domain names ending in '.org' to private equity firm Ethos Capital for $1.1 billion was rejected by ICANN Board. Over 10 million entities, associated with non-profit organisations, use .org suffix. ICANN said ""public interest is better served in withholding consent"" as the sale created ""unacceptable uncertainty over the future of third-largest gTLD registry"".",technology,"Proposal to sell '.org' registry for $1.1 bn rejected. The proposal to sell control of domain names ending in '.org' to private equity firm Ethos Capital for $1.1 billion was rejected by ICANN Board. Over 10 million entities, associated with non-profit organisations, use .org suffix. ICANN said ""public interest is better served in withholding consent"" as the sale created ""unacceptable uncertainty over the future of third-largest gTLD registry"".",proposal sell org registry bn reject proposal sell control domain name end org private equity firm ethos capital billion reject icann board million entity associate non profit organisation use org suffix icann say public interest better serve withhold consent sale create unacceptable uncertainty future third large gtld registry
China to begin trial of its digital currency in 4 cities from next week: Report,"China will reportedly start trials of its new digital currency, e-RMB, from next week in four cities namely, Shenzhen, Suzhou, Chengdu and Xiong'an. Officials have said the digital currency won't replace all money or be offered worldwide and is an experiment in preparation for the 2022 Beijing Winter Olympics. Few government employees would receive salaries in digital currency from May. ",technology,"China to begin trial of its digital currency in 4 cities from next week: Report. China will reportedly start trials of its new digital currency, e-RMB, from next week in four cities namely, Shenzhen, Suzhou, Chengdu and Xiong'an. Officials have said the digital currency won't replace all money or be offered worldwide and is an experiment in preparation for the 2022 Beijing Winter Olympics. Few government employees would receive salaries in digital currency from May. ",china begin trial digital currency city next week report china reportedly start trial new digital currency e rmb next week four city namely shenzhen suzhou chengdu xiongan official say digital currency not replace money offer worldwide experiment preparation beijing winter olympics government employee would receive salary digital currency may
"Fortnite World Cup 2020 cancelled, won't be held online","The Fortnite World Cup 2020 has been cancelled and all remaining Fortnite 2020 events will be held online, Fortnite developer Epic Games announced. The World Cup will not be held online ""due to limitations of cross-region online competition"", it said. It added that it was ""hopeful"" to be able to ""put on some form of Fortnite World Cup in 2021"".",technology,"Fortnite World Cup 2020 cancelled, won't be held online. The Fortnite World Cup 2020 has been cancelled and all remaining Fortnite 2020 events will be held online, Fortnite developer Epic Games announced. The World Cup will not be held online ""due to limitations of cross-region online competition"", it said. It added that it was ""hopeful"" to be able to ""put on some form of Fortnite World Cup in 2021"".",fortnite world cup cancel not hold online fortnite world cup cancel remain fortnite event hold online fortnite developer epic game announce world cup not hold online due limitation cross region online competition say add hopeful able put form fortnite world cup
Zoom admits it doesn’t have 300 mn daily active users; apologises for error,"Zoom has corrected its claim that it has 300 million daily active users, stating it actually has 300 million daily meeting participants. ""We unintentionally referred to these participants as “users” and “people.” When we realised this error, we adjusted the wording to ""participants"", it said. Zoom made the claim in an April 22 blog and corrected it on April 24.",technology,"Zoom admits it doesn’t have 300 mn daily active users; apologises for error. Zoom has corrected its claim that it has 300 million daily active users, stating it actually has 300 million daily meeting participants. ""We unintentionally referred to these participants as “users” and “people.” When we realised this error, we adjusted the wording to ""participants"", it said. Zoom made the claim in an April 22 blog and corrected it on April 24.",zoom admit not mn daily active user apologise error zoom correct claim million daily active user state actually million daily meeting participant unintentionally refer participant user people realise error adjust wording participant say zoom make claim april blog correct april
Unreal and unbelievable: Virat Kohli on Rishi Kapoor's demise a day after Irrfan's,"Reacting to the news of actor Rishi Kapoor's demise at the age of 67, Team India captain Virat Kohli tweeted, ""This is unreal and unbelievable. Yesterday Irrfan Khan and today Rishi Kapoor ji."" He added, "" It's hard to accept this as a legend passes away today. My condolences to the family and may his soul rest in peace.""",sports,"Unreal and unbelievable: Virat Kohli on Rishi Kapoor's demise a day after Irrfan's. Reacting to the news of actor Rishi Kapoor's demise at the age of 67, Team India captain Virat Kohli tweeted, ""This is unreal and unbelievable. Yesterday Irrfan Khan and today Rishi Kapoor ji."" He added, "" It's hard to accept this as a legend passes away today. My condolences to the family and may his soul rest in peace.""",unreal unbelievable virat kohli rishi kapoor demise day irrfan react news actor rishi kapoor demise age team india captain virat kohli tweet unreal unbelievable yesterday irrfan khan today rishi kapoor ji add hard accept legend pass away today condolence family may soul rest peace
"Was one of my favourites, watched almost all his films: Sachin on Irrfan's demise","Condoling the demise of actor Irrfan Khan, ex-India cricketer Sachin Tendulkar tweeted, ""Sad to hear the news of Irrfan passing away. He was one of my favourites."" He added, ""I've watched almost all his films...the last one being Angrezi Medium. Acting came so effortlessly to him, he was just terrific. May his soul Rest In Peace...Condolences to his loved ones.""",sports,"Was one of my favourites, watched almost all his films: Sachin on Irrfan's demise. Condoling the demise of actor Irrfan Khan, ex-India cricketer Sachin Tendulkar tweeted, ""Sad to hear the news of Irrfan passing away. He was one of my favourites."" He added, ""I've watched almost all his films...the last one being Angrezi Medium. Acting came so effortlessly to him, he was just terrific. May his soul Rest In Peace...Condolences to his loved ones.""",one favourite watch almost film sachin irrfan demise condole demise actor irrfan khan ex india cricketer sachin tendulkar tweet sad hear news irrfan pass away one favourite add watch almost film last one angrezi medium acting come effortlessly terrific may soul rest peace condolence love one
Will miss you both: Sourav Ganguly on death of Irrfan Khan and Rishi Kapoor,"BCCI President Sourav Ganguly took to Twitter to share a picture of late actors Irrfan Khan and Rishi Kapoor, who passed away on Wednesday and Thursday respectively. ""One life .. live to the fullest and happiest .. nothing else matters .. just a reminder . Will miss u both,"" Ganguly wrote alongside the picture.
",sports,"Will miss you both: Sourav Ganguly on death of Irrfan Khan and Rishi Kapoor. BCCI President Sourav Ganguly took to Twitter to share a picture of late actors Irrfan Khan and Rishi Kapoor, who passed away on Wednesday and Thursday respectively. ""One life .. live to the fullest and happiest .. nothing else matters .. just a reminder . Will miss u both,"" Ganguly wrote alongside the picture.
",miss sourav ganguly death irrfan khan rishi kapoor bcci president sourav ganguly take twitter share picture late actor irrfan khan rishi kapoor pass away wednesday thursday respectively one life live full happy nothing else matter reminder miss u ganguly write alongside picture
Fine with IPL in empty stadiums if it ensures fans’ safety: Ajinkya Rahane,"India and Delhi Capitals' batsman Ajinkya Rahane has said he is fine with IPL being played in empty stadiums if it ensures safety of fans. He added, ""As for IPL or any other sport...I feel it could be played without spectators. All of us have played domestic cricket in almost empty stadiums...so that’s an experience all cricketers are used to.”",sports,"Fine with IPL in empty stadiums if it ensures fans’ safety: Ajinkya Rahane. India and Delhi Capitals' batsman Ajinkya Rahane has said he is fine with IPL being played in empty stadiums if it ensures safety of fans. He added, ""As for IPL or any other sport...I feel it could be played without spectators. All of us have played domestic cricket in almost empty stadiums...so that’s an experience all cricketers are used to.”",fine ipl empty stadium ensure fan safety ajinkya rahane india delhi capital batsman ajinkya rahane say fine ipl play empty stadium ensure safety fan add ipl sport feel could play without spectator us play domestic cricket almost empty stadium experience cricketer use
"Umar Akmal suffered from epilepsy, he wasn't willing to accept it: Ex-PCB Chairman","Ex-PCB Chairman Najam Sethi has claimed banned batsman Umar Akmal suffers from epilepsy for which he had refused to take treatment. ""We had medical reports that confirmed he suffered from epilepsy fits and we called him back from West Indies...I told him it was serious and he needed...to get proper treatment. But he wasn't willing to accept it,"" he added.",sports,"Umar Akmal suffered from epilepsy, he wasn't willing to accept it: Ex-PCB Chairman. Ex-PCB Chairman Najam Sethi has claimed banned batsman Umar Akmal suffers from epilepsy for which he had refused to take treatment. ""We had medical reports that confirmed he suffered from epilepsy fits and we called him back from West Indies...I told him it was serious and he needed...to get proper treatment. But he wasn't willing to accept it,"" he added.",umar akmal suffer epilepsy not willing accept ex pcb chairman ex pcb chairman najam sethi claim ban batsman umar akmal suffer epilepsy refuse take treatment medical report confirm suffer epilepsy fit call back west indie tell serious need get proper treatment not willing accept add
"Latest Test rankings for teams out, India lose top spot for first time since 2016","India have been displaced from top of Test rankings for the first time since October 2016, with Australia taking over as the top-ranked side with 116 points. India are now third with 114 points, while New Zealand are second with 115 points. Meanwhile, South Africa suffered the biggest rating fall of eight points, dropping below Sri Lanka into sixth place.",sports,"Latest Test rankings for teams out, India lose top spot for first time since 2016. India have been displaced from top of Test rankings for the first time since October 2016, with Australia taking over as the top-ranked side with 116 points. India are now third with 114 points, while New Zealand are second with 115 points. Meanwhile, South Africa suffered the biggest rating fall of eight points, dropping below Sri Lanka into sixth place.",late test ranking team india lose top spot first time since india displace top test ranking first time since october australia take top rank side point india third point new zealand second point meanwhile south africa suffer big rating fall eight point drop sri lanka sixth place
Crazy times: ABD rubbishes reports of South Africa asking him to lead again,"Former South Africa captain AB de Villiers has denied being approached to lead the national team hours after a TV channel quoted him as saying that an offer was made by CSA. ""Reports suggesting CSA have asked me to lead Proteas are just not true...It's hard to know what to believe these days. Crazy times. Stay safe everyone,"" he wrote.",sports,"Crazy times: ABD rubbishes reports of South Africa asking him to lead again. Former South Africa captain AB de Villiers has denied being approached to lead the national team hours after a TV channel quoted him as saying that an offer was made by CSA. ""Reports suggesting CSA have asked me to lead Proteas are just not true...It's hard to know what to believe these days. Crazy times. Stay safe everyone,"" he wrote.",crazy times abd rubbish report south africa ask lead former south africa captain ab de villier deny approach lead national team hour tv channel quote say offer make csa report suggest csa ask lead protea not true hard know believe day crazy time stay safe everyone write
Ramnaresh Sarwan had nothing to do with Chris Gayle’s snub: Jamaica Tallawahs,"Days after West Indies cricketer Chris Gayle slammed ex-teammate Ramnaresh Sarwan for his premature exit from Jamaica Tallawahs, the franchise stated that the latter had no role in it. ""The decision was made collectively by the Ownership and Management team which did not include Ramnaresh Sarwan and based purely on business and cricketing reasoning,"" the franchise added.",sports,"Ramnaresh Sarwan had nothing to do with Chris Gayle’s snub: Jamaica Tallawahs. Days after West Indies cricketer Chris Gayle slammed ex-teammate Ramnaresh Sarwan for his premature exit from Jamaica Tallawahs, the franchise stated that the latter had no role in it. ""The decision was made collectively by the Ownership and Management team which did not include Ramnaresh Sarwan and based purely on business and cricketing reasoning,"" the franchise added.",ramnaresh sarwan nothing chris gayles snub jamaica tallawahs day west indies cricketer chris gayle slam ex teammate ramnaresh sarwan premature exit jamaica tallawahs franchise state latter no role decision make collectively ownership management team not include ramnaresh sarwan base purely business cricket reasoning franchise add
Former India football captain and first-class cricketer Chuni Goswami dies at 82,"Ex-India football captain and first-class cricketer Chuni Goswami passed away on Thursday after suffering a heart attack, his family has confirmed. Goswami died at the age of 82 at a hospital in Kolkata. Goswami played 50 matches for India as a footballer from 1956 to 1964, and as a cricketer, he represented Bengal in 46 matches between 1962 and 1973.",sports,"Former India football captain and first-class cricketer Chuni Goswami dies at 82. Ex-India football captain and first-class cricketer Chuni Goswami passed away on Thursday after suffering a heart attack, his family has confirmed. Goswami died at the age of 82 at a hospital in Kolkata. Goswami played 50 matches for India as a footballer from 1956 to 1964, and as a cricketer, he represented Bengal in 46 matches between 1962 and 1973.",former india football captain first class cricketer chuni goswami die ex india football captain first class cricketer chuni goswami pass away thursday suffer heart attack family confirm goswami die age hospital kolkata goswami play match india footballer cricketer represent bengal match
Ban him for life if you have evidence against him: Kamran to PCB on Umar's 3-year ban,"Referring to his brother Umar Akmal getting banned from all forms of cricket for three years, Kamran Akmal said, ""If PCB feels Umar has done something wrong then they should ban him for life if they have evidence to support it."" He added, ""All we can do is appeal against this decision, so that it can be reviewed again.""",sports,"Ban him for life if you have evidence against him: Kamran to PCB on Umar's 3-year ban. Referring to his brother Umar Akmal getting banned from all forms of cricket for three years, Kamran Akmal said, ""If PCB feels Umar has done something wrong then they should ban him for life if they have evidence to support it."" He added, ""All we can do is appeal against this decision, so that it can be reviewed again.""",ban life evidence kamran pcb umar year ban refer brother umar akmal get ban form cricket three year kamran akmal say pcb feel umar something wrong ban life evidence support add appeal decision review
"You are a snake, you are worse than coronavirus: Gayle to Sarwan over CPL row","After being released by Caribbean Premier League side Jamaica Tallawahs, West Indies opener Chris Gayle blamed assistant coach Ramnaresh Sarwan for his fallout with the franchise. ""Sarwan, you're worse than coronavirus right now...You are a snake...You are so vindictive, you are still immature, you are back-stabbing,"" he added. ""So many players were traumatised because of Sarwan,"" he further said.",sports,"You are a snake, you are worse than coronavirus: Gayle to Sarwan over CPL row. After being released by Caribbean Premier League side Jamaica Tallawahs, West Indies opener Chris Gayle blamed assistant coach Ramnaresh Sarwan for his fallout with the franchise. ""Sarwan, you're worse than coronavirus right now...You are a snake...You are so vindictive, you are still immature, you are back-stabbing,"" he added. ""So many players were traumatised because of Sarwan,"" he further said.",snake bad coronaviru gayle sarwan cpl row release caribbean premier league side jamaica tallawahs west indies opener chris gayle blame assistant coach ramnaresh sarwan fallout franchise sarwan bad coronaviru right snake vindictive still immature back stab add many player traumatise sarwan say
